Request Date , Request # ,University,Semester,Year,Course, ISBN , Title , Author , pub_date , Call No , Syllabi , Comments
6/7/11,136191," University of Maryland, Baltimore County ",Summer,2011, AMST322 , 078322172x , 12 Monkeys , Terry Gilliam ,1997,  , N , Deleted 8/24 
11/25/15,222388," University of Maryland, Baltimore County ",Spring,2016, AMST310 ,9.78E+12, Gender Through the Prism of Difference ," Zinn, Maxine Baca, Hondagneu-Sotelo, Pierrette, Messner, Michael A., Denissen, Amy M. ",2016, HQ1075 .G4666 2016 ,  , on reserve 12-11-2015
12/8/14,328643," University of Maryland, Baltimore County ",Spring,2015, AMST310 ,9.78E+12," Dude, You're a Fag-W/NEW PREFACE | Edition: (REV)12 ", PASCOE ,2011, 1st ed HQ797 .P37 2007 , N , Entered 12/18
7/20/15,371224," University of Maryland, Baltimore County ",Fall,2015, AMST352 ,9.78E+12, Consumed ," Barber, Benjamin R. ",2008, HC110.C6 B324 2008 ,  , 1 LOAN 
11/14/13,435162," University of Maryland, Baltimore County ",Spring,2014, AMST322 ,9.78E+12, American Film: A History , Jon Lewis ,2007, PN1993.5.U6 L46 2008 , N , 6 loans; Deleted 5/22 
5/10/12,436971," University of Maryland, Baltimore County ",Fall,2012, AMST325 ,9.78E+12, Signs of Life in the U.S.A. , Sonia Maasik and Jack Solomon ,2012, PE1127.P6 S54 2012 , N , 6 loans; Deleted 1/14 
8/2/11,441811," University of Maryland, Baltimore County ",Fall,2011, AMST320 ,  , Television and American Culture ," Mittell, Jason ",2009, PN 1992.6 M58 2009 , N , Deleted 12/22 
11/12/10,597928," University of Maryland, Baltimore County ",Spring,2011, AMST325 , ISBN-10: 0-312-47812-7 , Signs of Life in the U.S.A. ," Maasik, Sonia and Jack Solomon ",2009, PE1127 P6 S54 2009 , N , Deleted 5/23 
11/15/10,647815," University of Maryland, Baltimore County ",Fall,2010, AMST320 ,  , Television and American Culture ," Mittell, Jason ",2009, PN1992.6M58 2009 , N , Deleted 1/12 
7/8/13,707475," University of Maryland, Baltimore County ",Fall,2013, AMST310 ,9.78E+12," Dude, You're a Fag: Masculinity and Sexuality in High School ", CJ Pascoe ,2007, HQ797 .P37 2007 , N , 2 loans; Deleted 1/7 
10/27/11,729643," University of Maryland, Baltimore County ",Spring,2012, AMST325 , 978-0312478124 , Signs of Life in the USA: Readings on Popular Culture for Writers ," Maasik, Sonia &  Solomon, Jack "," December 10, 2008 ", PE1127.P6 S54 2009 , N , Entered 10/31 
6/22/15,857254," University of Maryland, Baltimore County ",Fall,2015, AMST325 ,9.78E+12," Pop Culture Freaks:  Identity, Mass Media, and Society "," KIDD, DUSTIN ",2014, HM621 .K5293 2014 , N , 13 LOANS 
7/20/15,869240," University of Maryland, Baltimore County ",Fall,2015, AMST352 ,9.78E+12, Paper Daughter: A Memoir ," Marr, M. Elaine ",2000, E184.C5 M17 2000 , N , 2 LOANS 
5/22/14,933003," University of Maryland, Baltimore County ",Fall,2014, AMST320 ,9.78E+12, Television and American Culture , Jason Mittell ,2009, PN1992.6 M58 2009 , N , Deleted 12/21; 18 loans 
7/20/15,938434," University of Maryland, Baltimore County ",Fall,2015, AMST352 ,9.78E+12, Half and Half: Writers on Growing Up Biracial and Bicultural ," O Hearn,  Claudine Chiawei ",1998, HQ777.9 .H34 1998 , N , 2 LOANS 
4/19/13,683297," University of Maryland, College Park ",Fall,2013, HLTH377 ,9.78E+12, THINK HUMAN SEXUALITY , Kelly Welch , 06/22/2010 , HQ21 .W564 2011 , N , 8 loans; Deleted 1/13 
11/30/10,316650," University of Maryland, College Park ",Spring,2011, EDCI618 ,1557665664, Here's how to reach me : matching instruction to personality types in your classroom ," Judith A. Pauley, Dianne F. Bradley, and Joseph F. Pauley ",2002, LB1060.P38 2002 , N , Deleted 5/25 
4/22/11,197195," University of Maryland, Baltimore County ",Summer,2011, HIST373 ,9.78E+12, The Vichy Syndrome: History and Memory in France since 1944 ," Rousso, H ",1994, DC397.R7314 1994 , N , Deleted 9/1 
4/22/11,253632," University of Maryland, Baltimore County ",Summer,2011, HIST373 ,9.78E+12, The Complete Maus ," Spiegelman, A ",2003,  , N , Ordered 4/25 
4/22/11,364755," University of Maryland, Baltimore County ",Summer,2011, HIST373 ,9.78E+12, Nazi Germany and the Jews: Vol 1: The Years of Persecution ," Friedlander, S ",1998, DS135.G3315F75 1997 , N , Deleted 9/1 
4/22/11,392462," University of Maryland, Baltimore County ",Summer,2011, HIST373 ,9.78E+12, Between Dignity and Despair: Jewish Life in Nazi Germany ," Kaplan, M ",1999, DS135.G3315K37 1999 , N , Deleted 9/1 
4/22/11,541503," University of Maryland, Baltimore County ",Summer,2011, HIST373 ,9.78E+12, The Years of Extermination: Nazi Germany and the Jews ," Friedlander, S. ",2008, D804.3.F753 2008 , N , Deleted 9/1 
2/3/12,626579," University of Maryland, College Park ",Spring,2012, INFM603 ,131752421, Internet & World Wide Web : how to program / ," Deitel, Paul J. ",2008,  , N , Deleted 5/21 
1/29/11,921517, University of Baltimore ,Spring,2011, HSMG300 , 0-07-143680-4 , Multicultural Medicine and Health Disparities ," Satcher, David, MD,PHD et. al ",2006,  , N , Deleted 5/26 
12/17/14,112981," University of Maryland, Baltimore County ",Spring,2015, PSYC601 ,9.78E+12, Human Resource Management , Raymond Noe and John Hollenbeck ,2013, HF5549.2.U5 N64 2015 , N , Entered 1/13
5/27/15,334104," University of Maryland, Baltimore County ",Fall,2015," PSYC673, ",9.78E+12," Employment Discrimination Litigation: Behavioral, Quantitative, and Legal Perspectives (J-B SIOP Pro "," Landy, Frank J ",2005, KF3464 .E446 2005 , N , 7 LOANS 
5/5/15,905220," University of Maryland, Baltimore County ",Fall,2015, PSYC673 ,9.78E+12, Mastering Employment Discrimination Law (Carolina Academic Press Mastering Series) ," Secunda, Paul and Hirsch, Jeffrey ",2010, KF3464 .S425 2010 , N , 9 LOANS 
1/24/11,273122, Towson University ,Spring,2011, SPED527 ,  , Teaching Social-Emotional Skills at School and Home , L.K. Elksin and E. Elksin ,2006, BF723 S62 E45 2006 , N , Deleted 5/26 
12/6/10,459410, Towson University ,Spring,2011, SPED641 ,9.78E+12," Strategies for Teaching Students with Learning and Behavior Problems, (with MyEducationLab) "," Candace S. Bos, Sharon S. Vaughn ",2008,  , N , Ordered 12/6 
1/25/11,468306, Towson University ,Spring,2011, ECEd417 ,9.78E+12, Assessment in Early Childhood Education ," Wortham, Sue ",2008, LB3060.217 W67 2008 , N , Deleted 5/25 
1/25/11,494790, Towson University ,Spring,2011, ECEd417 ,9.78E+12, Assessing and Guiding Young Children's Development and Learning ," Oralie McAfee, Deborah J. Leong ",2011, LB1139.25 M4 2011 , N , Deleted 5/25 
12/17/15,330904," University of Maryland, College Park ",Spring,2016, PHSC405 ,9.78E+12, Prevention is Primary:Strategies for Community Well-Being ," Cohen, Larry, Chaves, Vivian, Chehimi, Sana ", 00-00-2010 , RA445 .P6585 2010 , N , on reserve 1-19-2016
12/17/15,440850," University of Maryland, College Park ",Spring,2016, PHSC405 ,9.78E+12, Media Advocacy and Public Health: Power for Prevention ," WallackLawrence, Dorfman, Lori, Jernigan, David, Themba, Makani ", 00-00-1993 , RA440.5 .M427 1993 , N , On Reserves 01-19-2016
12/17/15,501405," University of Maryland, College Park ",Spring,2016, PHSC405 ,9.78E+12, Communicating Public Health Information Effectively: A Practical Guide for Practitioners ," Nelson, David, Brownson, Ross, Remington, Patrick, Parvanti, Claudia ", 00-00-2002 , R118 .C59 2002 , N , On Reserves 01-14-2016
11/7/12,120544," University of Maryland, Baltimore County ",Spring,2013, SOWK260 ,9.78E+12, Faces of social policy: a strengths perspective , Tice ,2001, HN57 .T53 2002 , N , 10 loans; Deleted 5/22 
11/7/12,147159," University of Maryland, Baltimore County ",Spring,2013, SOWK260 ,9.78E+12, Publication Manual of APA , APA ,2010, BF76.7 .P83 2010 , N , Deleted 5/22 
11/15/10,328696," University of Maryland, Baltimore County ",Fall,2010, SOWK260 ,  , APA Manual 6th ed , APA ,2001, BF76.7.P83 2010 , N , Deleted 1/13 
11/15/10,478127," University of Maryland, Baltimore County ",Fall,2010, SOWK260 ,  , The faces of social policy : a strengths perspective ," Tice,Carolyn J.   Perkins,Kathleen ",2001, HN57.T53 2002 , N , Deleted 1/13 
11/28/11,300282," University of Maryland, Baltimore County ",Spring,2012, PSYC601 ,9.78E+12, Fundamentals of Human Resource Management ," Raymond Noe, John Hollenbeck, Barry Gerhart and Patrick Wright ",2010, HF5549 .F86 2011 , N , Deleted 6/18 
12/2/11,208770," University of Maryland, Baltimore County ",Spring,2012, SOWK374 ,9.78E+12, Student Manual for Zastrow/Kirst-Ashman's Understanding Human Behavior and the Social Environment , Kirst-Ashman ,2009, HM1033 .Z37 2010 Suppl. , N , Deleted 7/10; 0 loans 
12/2/11,489528," University of Maryland, Baltimore County ",Spring,2012, SOWK374 ,9.78E+12, Little Bee ," Cleave, Chris ",2010, PR6103.L43 L58 2009 , N , Deleted 7/10; 0 loans 
12/2/11,908062," University of Maryland, Baltimore County ",Spring,2012, SOWK374 ,9.78E+12, Best Practices for Social Work with Refugees and Immigrants ," Potocky-Tripodi, M. ",2002, HV4010 .P67 2002 , N , Deleted 7/10; 0 loans 
12/2/11,982869," University of Maryland, Baltimore County ",Spring,2012, SOWK374 ,9.78E+12," Social work withimmigrants and Refugees:  Legal Issues, Clinical Skills & Advocacy ", Chang-Muy ,2008, JV6465 .S63 2009 , N , Deleted 7/10; 0 loans 
1/14/11,427766," University of Maryland, Baltimore County ",Spring,2011, POLI488 ,9.78E+12," India, Pakistan, and Democracy "," Oldenburg, Philip ",2010, JQ281.O43 2010 , N , Deleted 5/26 
2/2/11,572256," University of Maryland, Baltimore County ",Spring,2011, POLI488 ,9.78E+12," India, Pakistan, and Democracy: Solving the Puzzle of Divergent Paths ", Philip Oldenburg ,2010, prof's copy , N , Deleted 2/28 
2/2/11,627418," University of Maryland, Baltimore County ",Spring,2011, POLI488 ,9.78E+12, India After Ghandi: The History of the World's Largest Democracy , Ramachandra Guha ,2007, prof's copy , N , Entered 2/2 MS 
2/2/11,641531," University of Maryland, Baltimore County ",Spring,2011, POLI488 ,9.78E+12, The Limits of Influence: America's Role in Kashmir , Howard B. Schaffer ,2009, prof's copy , N , Deleted 2/16 
2/2/11,734077," University of Maryland, Baltimore County ",Spring,2011, POLI488 , 978-0195476972 ," Crossed Swords: Pakistan, its Army, and the Wars Within ", Shuja Nawaz ,2009, prof's copy , N , Entered 2/2 MS 
1/11/12,447016," University of Maryland, College Park ",Spring,2012, LBSC601 ,  ," Looking for information, A survey of research on information seeking ,needs, behavious ", Donald O.Case ,2007, 1st ed MCK ZA3075.C37 2007 , N , Deleted 5/21 
1/11/12,983438," University of Maryland, College Park ",Spring,2012, LBSC601 ,  , Theories of information behaviour ," karen E. Fisher, Sanda Erdelez ",2005, ZA3075.T465 2005 , N , Deleted 5/21 
11/16/10,189092," University of Maryland, College Park ",Fall,2010, BMGT340 ,  , CD-ROM Fundamentals of financial management ," Eugene F. Brigham, Joel F. Houston ",2004, HG4026.B6693 2004 , N , Deleted 1/12 
11/16/10,683584," University of Maryland, College Park ",Fall,2010, BMGT340 ,  , Fundamentals of financial management ," Eugene F. Brigham, Joel F. Houston ",2004, HG4026.B6693 2004 , N , Deleted 1/12 
11/2/12,155841," University of Maryland, Baltimore County ",Spring,2013, HIST406 , 978-0882952451 ," Theë_Atlanticë_World:ë_Aë_History,ë_1400ë_-ë_1888 "," Douglasë_Egerton,ë_Alisonë_Games,ë_etë_al. ",2007, D210 .A78 2007 , N , 0 loans; Deleted 5/22 
11/2/12,480103," University of Maryland, Baltimore County ",Spring,2013, HIST406 , 978-0826306562 , Cabezaë_deë_Vaca'së_Adventuresë_inë_theë_Unknownë_Interiorë_ofë_America , Alvarë_Nunezë_Cabezaë_deë_Vaca ,1983, E125.N9 A3713 1983 , N , 1 loan; Deleted 5/22 
11/2/12,526361," University of Maryland, Baltimore County ",Spring,2013, HIST406 , 978-0140447033 ," Poems,ë_Protest,ë_andë_aë_Dream ", Sorë_Juanaë_Inesë_deë_laë_Cruz ,1997, PQ7296.J6 A25 1997 , N , 0 loans; Deleted 5/22 
11/2/12,729820," University of Maryland, Baltimore County ",Spring,2013, HIST406 , 978-0521349864 , Lutherë_andë_Calvinë_onë_Secularë_Authority , Harroë_HÕ_pfl ,1991, BV629 .L8 1991 , N , 4 loans; Deleted 5/22 
1/12/12,387092," University of Maryland, Baltimore ",Spring,2012, PHMY506 ,  , Marketing : the basics ," Moore,Karl  & Pareek, Niketh ",2010, HF5415.13 .M664 2010 , N , Deleted 5/30 
11/8/11,697090," University of Maryland, Baltimore ",Fall,2011, PHAR562 ,  ," Pharmacy management, leadership, marketing, and finance "," Marie A. Chisholm-Burns, Allison M. Vaillancourt, Marv Shepherd ",2011, RS100 .P483 2011 , N , Deleted 1/4 
9/13/15,105968," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,205175392, Test scores and what they mean ," Lyman, Howard ",1998,  , N , 2 LOANS 
9/8/15,167869," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , NEO PI-R Hand-Scoring Answer Sheet and Self-Report Form ," Costa, Paul & McCrae, Robert ",1992,  , N , 10 LOANS 
9/15/15,216176," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Measures for Clinical Practice and Research ," Corcoran, Kevin & Fischer, Joel ",2013, BF176 .C67 2013 , N , 3 LOANS 
7/20/15,220583," University of Maryland, Baltimore County ",Fall,2015, PSYC211 ,9.78E+12, How to think Straight About Psychology ," Stanovich, Keith E. ",2012,  , N , 4 LOANS 
10/7/15,357976," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , WorkPlace Big Five Profile (Short Form & Description) ," Howard, Pierce ",2002, Professor Copy ,  , 2 LOANS
9/13/15,383225," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Survey Analysis Using SPSS , SPSS ,2006,  ,  , 0 LOANS 
7/20/15,394099," University of Maryland, Baltimore County ",Fall,2015, PSYC211 ,9.78E+12, The Psychology Major's Handbook ," Kuther, Tara L. ",2015,  ,  , 18 LOANS 
10/21/15,431768," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  ," Psychological Testing: Principles, Applications, and Issues "," Kaplan, Robert; Saccuzzo, Dennis ",2005, Professor Copy , N , 7 LOANS
9/13/15,438278," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Survey Methodology , SPSS ,2007,  , N , 0 LOANS 
8/18/15,479415," University of Maryland, Baltimore County ",Fall,2015, PSYC320 , 978-0910674638 , Mental measurement yearbook , Buros Center ,2014, BF451 .M549 2014 ,  , 17 LOANS 
9/8/15,583119," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Myers-Briggs Type Indicator Career Report ," Hammer, Allen ",2005,  ,  , 10 LOANS 
9/13/15,630645," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Advanced Techniques: Regression , SPSS ,2006, Professor Copy ,  , 0 LOANS 
9/13/15,639749," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Introduction to SPSS , SPSS ,2007,  ,  , 1 LOAN 
9/13/15,751688," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Data Management and Manipulation with SPSS , SPSS ,2007,  , N , 0 LOANS 
1/21/16,831686," University of Maryland, Baltimore County ",Spring,2016, PSYC393 ,9.78E+12, HOW TO THINK STRAIGHT ABOUT PSYCHOLOGY ," Stanovich, Keith E. ",2012, Professor Copy , N , on reserves 01-21-2016 (Duc) 
9/2/15,876397," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,915202573, MMPI Interpretation Manual for Counselors and Clinicians ," Duckwork, Jane; Anderson, Wayne ",1986,  , N , 0 LOANS 
7/20/15,906737," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,9.78E+12, Psychological Testing and Assessment: An Introduction to Tests and Measurement ," Cohen, Swerdlik, and Sturman ",2012, BF176 .C63 2012 , N , 15 LOANS 
9/2/15,969582," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , The California Psychological Inventory Handbook ," Megargee, Edwin I. ",1972,  , N , 0 LOANS 
9/8/15,997694," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,  , Strong Interest Inventory Profile (for Donald Knight) ," Prince, Jeffrey ",2005,  ,  , 4 LOANS 
8/20/15,626823," University of Maryland, Baltimore County ",Fall,2015, PSYC320 ,9.78E+12, Tests & Measurement for People Who (Think They) Hate Tests & Measurement ," Salkind, Neil J ",2005,  , N , 3 LOANS 
12/22/14,504662," University of Maryland, Baltimore County ",Spring,2015, BTEC651 ,9.78E+12, Molecular Biology of the Cell ," Alberts, Johnson, Lewis, Morgan, Raff, Roberts, and Walter ",2014, QH581.2 .M64 2015 , N , Entered 2/2
12/22/14,984345," University of Maryland, Baltimore County ",Spring,2015, BTEC651 ,9.78E+12, Molecular Biology of the Cell  - The Problems Book , John Wilson ,2014,  , N , Ordered 1/15 
11/8/11,132775," University of Maryland, Baltimore ",Fall,2011, NURS304 ,  , Interpersonal relationships : professional communication skills for nurses ," Elizabeth Arnold, Kathleen Underman Boggs ",2011, RT86.3.A76 2011 , N , Entered 9/12 
11/9/10,213255," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  , Evidence-based practice in nursing & healthcare :a guide to best practice 2nd ed / ," Bernadette Mazurek Melnyk, Ellen Fineout-Overholt ",2011,  ,  ,  
11/9/10,237402," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  , Professional nursing concepts :competencies for quality leadership / ," Anita W. Finkelman, Carole Kenner ",2010,  ,  ,  
11/9/10,259955," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  , Study guide for Essentials of nursing research :appraising evidence for nursing practice 7th ed / ," Denise F. Polit, Cheryl Tatano Beck ",2010,  ,  ,  
4/1/13,264177," University of Maryland, Baltimore ",Fall,2013, NURS320 , 978-0-7817-8153-4 , Essentials of Nursing Research: Appraising Evidence ," Polit, Denise and Beck, Cheryl ",2010, RT81.5 .P63 2010 , N , Deleted 8/22 
11/9/10,282130," University of Maryland, Baltimore ",Fall,2010, NURS320 ,  , CD-ROM Essentials of nursing research :appraising evidence for nursing practice /CD-ROM Essentials o ," /Denise F. Polit, Cheryl Tatano Beck ",2010,  ,  ,  
11/9/10,288066," University of Maryland, Baltimore ",Fall,2010, NURS320 ,  , Essentials of nursing research :appraising evidence for nursing practice / ," Denise F. Polit, Cheryl Tatano Beck ",2010,  ,  ,  
11/8/10,307833," University of Maryland, Baltimore ",Fall,2010, NURS320 ,9.78E+12, Student Resource CD-ROM for Evidence-Based Practice in Nursing & Healthcare: A Guide to Best Practic ," Melnyk, Bernadette Mazurek ",2011, RT42 M44 2011 , N , Entered 11/8 
11/9/10,378826," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  ," CD-ROM Essentials of nursing research :methods, appraisal, and utilization / "," Denise F. Polit, Cheryl Tatano Beck ",2000, RT81.5.P63 2006 cdrom , N , Deleted 06/2/11 
8/22/13,379297," University of Maryland, Baltimore ",Fall,2013, NURS320 , 978-1-4511-7683-4 , Study Guide For Essentials of Nursing Research ," Polit, Denise F. Beck, Cheryl Tatano ",2014, prof's copy , N , Entered 8/22 
4/1/13,571348," University of Maryland, Baltimore ",Summer,2013, NURS418 , 978-0-13-509721-2 , Health Promotion in Nursing Practice ," Pender, Nola, Murdaugh, Carolyn, and Parsons, Mary Ann ",2011, RT67 .P56 2011 , N , Already on NURS reserves 
4/1/13,576989," University of Maryland, Baltimore ",Fall,2013, NURS418 , 978-0-13-509721-2 , Health Promotion in Nursing Practice ," Pender, Nola, Murdaugh, Carolyn, and Parsons, Mary Ann ",2011, RT67 .P56 2011 , N , Entered 4/1 
10/21/10,601801," University of Maryland, Baltimore ",Fall,2010, NURS320 ,9.78E+12, Evidence-based practice in nursing & healthcare :a guide to best practice ," Fineout-Overholt, Ellen ",2010,  , N , Entered 11/8 
11/8/11,740087," University of Maryland, Baltimore ",Fall,2011, NURS308 ,  , Wong's essentials of pediatric nursing ," Marilyn J. Hockenberry, David Wilson. ",2009, RJ245.W46 2009 , N , Entered 1/7 
11/9/10,764937," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  ," Essentials of nursing research :methods, appraisal, and utilization "," /Denise F. Polit, Cheryl Tatano Beck ",2006,  ,  ,  
8/20/14,888927," University of Maryland, Baltimore ",Fall,2014, NURS316 , 978-1451176797 , Essentials of Nursing Research: Appraising Evidence for Nursing Practice , Denise F. Polit and Cheryl Tatano Beck ,2014,  , N , Entered 8/20 
11/9/10,897013," University of Maryland, Baltimore ",Summer,2010, NURS320 ,  , Selected Answers to Essentials of Nursing Research Study Guide , study guide ,2000,  ,  ,  
8/20/14,909357," University of Maryland, Baltimore ",Fall,2014, NURS316 , 978-1451176834 , Study Guide for Essentials of Nursing Research: Appraising Evidence for Nursing Practice , Denise F. Polit and Cheryl Tatano Beck ,2014,  , N , Entered 8/20 
11/8/11,973902," University of Maryland, Baltimore ",Summer,2010, NURS304 ,  ," Kozier & Erb's fundamentals of nursing : concepts, process, and practice ", Audrey Berman ,2012, RT41.F8813 2012 , N , Entered 8/25 
8/22/13,991412," University of Maryland, Baltimore ",Fall,2013, NURS320 ,9.78E+12, Essentials of nursing research : appraising evidence for nursing practice ," Polit, Denise F. Beck, Cheryl Tatano ",2014, prof's copy , N , Entered 8/22 
8/20/14,400726," University of Maryland, Baltimore ",Fall,2014, NURS330 ,  , Mosby's 2015 nursing drug reference , Linda Skidmore-Roth ,2015, RM301.12 .S55 2015 ,  , entered 08-20-2014 
9/9/14,674444," University of Maryland, Baltimore ",Fall,2014, NURS330 ,9.78E+12, Medical-surgical nursing : patient-centered collaborative care ," Donna D. Ignatavicius, M. Linda Workman ",2013, RT41 .I36 2013 , N , Entered 9/9 
11/11/10,142975," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Lippincott's Q & A review for NCLEX-RN ," Billings, Diane M ",2008,  ,  ,  
11/11/10,204955," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Mosby's diagnostic and laboratory test reference ," Pagana, Kathleen ",2009,  ,  ,  
11/11/10,226936," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Critical thinking study guide to accompany Medical-surgical nursing :critical thinking for collabora ," Ignatavius, Donna D ",2006,  ,  ,  
11/11/10,482582," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  ," Clinical companion [to] 6th edition [of] Ignatavicius [and] Workman, Medical-surgical nursing: patie "," Winkelman, Chris ",2010,  ,  ,  
11/11/10,528980," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Mosby's manual of diagnostic and laboratory tests ," Pagana, Kathleen ",2010, RB38.2 .P34 2010 , N , Deleted 4/7 
11/11/10,557632," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Mosby's review questions for the NCLEX-RN examination ," Saxton, Dolores ",2007, RT55 .M67 2007 , N , Deleted 9/29 
11/11/10,588549," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , CD-ROM Saunders comprehensive review for the NCLEX-RN examination ," Silvestri, Linda Ann ",2008, RT55.S483 2008 , N , Deleted 6/2 
11/11/10,620257," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , CD-ROM Mosby's nursing drug reference ," Skidmore-Roth, Linda ",1988,  ,  ,  
11/11/10,760067," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Medical-surgical nursing :critical thinking for collaborative care ," Ignatavius, Donna D ",2006,  ,  ,  
11/11/10,772316," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Clinical companion for Ignatavicius Workman Medical-surgical nursing : critical thinking for collabo ," Hausman, Kathy ",2006,  ,  ,  
11/11/10,868170," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , CD-ROM Medical-surgical nursing :critical thinking for collaborative care ," Ignatavius, Donna D ",2006,  ,  ,  
11/11/10,875908," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , CD-ROM Lippincott's Q & A review for NCLEX-RN ," Billings, Diane M ",2008,  ,  ,  
11/11/10,945965," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Mosby's nursing drug reference ," Skidmore-Roth, Linda ",1988,  ,  ,  
11/11/10,976763," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , Saunders comprehensive review for the NCLEX-RN examination ," Silvestri, Linda Ann ",2008, RT55 .S28 2011 , N , Deleted 4/7; 91 loans 
11/11/10,989467," University of Maryland, Baltimore ",Fall,2010, NURS330 ,  , CD-ROM Mosby's review questions for the NCLEX-RN examination ," Saxton, Dolores F ",2007, RT55.M67 2007 , N , Deleted 6/2 
8/14/11,134073," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,804713316, A Radical Worker in Tsarist Russia ," Semen Kanatchikov, Reginald Zelnik ",1986, prof's copy , N , Deleted 1/4 
8/7/11,289722," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,875805523, Memoris of a Revolutionist , Vera Figner ,1991, HX313.8.F54 A3 1991 , N , Deleted 1/4 
8/8/11,570887," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,9.78E+12, A history of Russia ," Nicholas Riasanovsky, Mark Steinberg ",2011, DK40 .R5 2011 , Y , Deleted 1/4 
8/7/11,630796," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,44451903, Rebels in the Name of the Tsar , Daniel Field ,1989, DK221 .F48 1989 , N , Deleted 1/4 
8/7/11,670533," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,804713316, A Radical Worker in Tsarist Russia ," Semen Kanatchikov, Reginald Zelnik ",1986, HD8527.K36 A3513 1986 , N , Deleted 1/4 
8/7/11,673277," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,875692036," Imperial Russia: A Source Book , 1700-1917 ", Basil Dmytryshyn ,1999, DK3 .I56 1999 , N , Deleted 1/4 
8/8/11,756944," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,  ," Description of Moscow and Muscovy, 1557 ", Sigmund von Herberstein , 1969 probably , DK21 .H53 1969 , N , Deleted 1/4 
8/8/11,921501," University of Maryland, Baltimore County ",Fall,2011, HIST485 ,9.78E+12," Readings in Russian Civilization, Vol. II: Imperial Russia, 1700-1917 ", Thomas Riha ,1969, DK4.R52 v.2 , Y , Deleted 1/4 
9/11/13,704529, Bowie State University ,Fall,2013, PSYC775 ,890420246, Diagnostic and statistical manual of mental disorders : DSM-IV-TR , American Psychiatric Association ,2010, T11 .M346 2010 , N , 0 loans; Deleted 1/22 
11/16/10,597873," University of Maryland, College Park ",Fall,2010, BSCI424 ,  , Medical microbiology ," Murray, Patrick ",2005, QR46 M4683 2005 , N , Deleted 1/13 
11/16/10,737568," University of Maryland, College Park ",Fall,2010, BSCI424 ,  , Microbiology : a photographic atlas for the laboratory ," Alexander, Steve ",2001, QR54 A44 2001 , N , Deleted 1/13 
1/29/15,124094," University of Maryland, College Park ",Spring,2015, BMGT301 , 978-1-4533-6657-8 ," Information Systems: A Manager's Guide to Harnessing Technology, v. 3 "," Gallaugher, John ",2013, T58.64 .G335 2014 , N , Entered 2/16
2/19/16,430340," University of Maryland, College Park ",Spring,2016, BMGT301 ,9.78E+12," Information Systems: A Manager's Guide to Harnessing Technology, v. 4.0 ", John Gallaugher , 08-15-2015 ,  ,  , Requested to be ordered 02-22-16 
4/22/11,893968," University of Maryland, Baltimore County ",Summer,2011, PSYC409 ,9.78E+12, Teach Like Your Hair's on Fire: The Methods and Madness Inside Room 56 , Rafe Esquith ,2007, LB41.E48 2007 , N , Deleted 9/1 
